lat,lon,year,yield_maize,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
44.25,7.75,1984,10.324038,13.912875,705.8971003890038,0.3468147,2402195618.0,928.451012134552
44.25,7.75,1985,10.378999,15.963847,388.135569691658,0.30396083,2556035383.0,1053.0898823738098
44.25,7.75,1986,10.905809,15.956676,430.69937324523926,0.3221367,2520624604.0,1017.4721760749817
44.25,7.75,1987,11.6316805,15.861559,389.02624106407166,0.32200426,2573479483.0,1049.2003321647644
44.25,7.75,1988,11.046546,15.746801,433.759648501873,0.32244655,2531853242.0,1019.4612064361572
44.25,7.75,1989,11.784702,15.561003,421.24250519275665,0.34130824,2616804326.0,1041.9958138465881
44.25,7.75,1990,11.231312,16.0401,400.28387010097504,0.3282272,2587967112.0,1040.2046122550964
44.25,7.75,1991,10.719433,15.969325,457.8499388694763,0.29307604,2630637888.0,1118.1224308013916
44.25,7.75,1992,12.74846,15.680601,623.072762966156,0.35019788,2491070494.0,955.3599162101746
44.25,7.75,1993,13.573235,15.8124485,535.2894946336746,0.3218937,2615307752.0,1073.8091793060303
44.25,7.75,1994,12.162379,16.554935,592.6276780366898,0.32511988,2535074829.0,1062.2835111618042
44.25,7.75,1995,14.25776,14.879221,650.6890578269958,0.36363792,2528612977.0,987.9623403549194
44.25,7.75,1996,14.482355,14.735736,489.8399147987366,0.34447178,2544235152.0,1025.0518102645874
44.25,7.75,1997,15.115263,16.074444,420.0437593460083,0.31763807,2613766095.0,1088.1583528518677
44.25,7.75,1998,14.402645,16.300985,440.8355236649513,0.31395897,2670546620.0,1135.9086284637451
44.25,7.75,1999,14.657988,16.387482,556.584645986557,0.33294103,2550511512.0,1054.1341361999512
44.25,7.75,2000,13.897618,16.303947,546.7280898094177,0.3264403,2664806502.0,1089.1529607772827
44.25,7.75,2001,14.701508,16.099945,427.1713013648987,0.3050886,2673315017.0,1151.0650129318237
44.25,7.75,2002,14.576176,15.346182,765.9058427810669,0.3786444,2483410196.0,934.6182465553284
44.25,7.75,2003,12.298773,18.086416,270.71391808986664,0.2752095,2792609488.0,1297.7119398117065
44.25,7.75,2004,14.39765,15.938876,367.3726044893265,0.3001737,2694184542.0,1125.7761001586914
44.25,7.75,2005,14.628692,16.31055,459.1471908092499,0.33143944,2597750044.0,1082.5226311683655
44.25,7.75,2006,13.172995,16.668583,492.30155992507935,0.3008915,2649738408.0,1175.9084601402283
44.25,7.75,2007,14.779437,16.009441,417.0197466611862,0.2955554,2705195745.0,1175.789029121399
44.25,7.75,2008,14.182974,15.874639,526.8564448356628,0.33359167,2544313292.0,1046.5861520767212
44.25,7.75,2009,13.889964,17.095095,400.9068742990494,0.30636948,2755443118.0,1191.8674201965332
44.25,7.75,2010,13.48788,15.885953,535.7642328739166,0.34190565,2592489326.0,1052.9751162528992
44.25,7.75,2011,14.545188,16.665768,434.36555939912796,0.32183936,2692014374.0,1113.9103255271912
44.25,7.75,2012,13.337563,16.813652,445.99006175994873,0.31213745,2583090956.0,1103.0273480415344
44.25,7.75,2013,13.437532,15.793524,552.7963583469391,0.34620017,2655918672.0,1056.70916223526
44.25,7.75,2014,15.895902,15.488373,650.6071329116821,0.3835204,2528803578.0,966.3972392082214
44.25,7.75,2015,15.310852,17.015265,536.0757448673248,0.34241396,2595025141.0,1065.2924132347107
44.25,7.75,2016,15.647698,16.53891,492.63784980773926,0.33921742,2701382982.0,1121.745210647583
44.25,10.75,1982,11.787119,17.768478,423.5827739238739,0.26181763,2591038555.0,1315.288007736206
44.25,10.75,1983,10.476537,17.394716,422.99505227804184,0.26264185,2561027934.0,1343.3162865638733
44.25,10.75,1984,11.773861,15.49297,637.7066458463669,0.28443798,2447919361.0,1194.2863640785217
44.25,10.75,1985,9.366126,17.534302,347.0269583463669,0.24587,2608768556.0,1371.6661615371704
44.25,10.75,1986,11.524019,17.25413,417.76134514808655,0.26476988,2645992844.0,1337.8291816711426
44.25,10.75,1987,10.623666,17.20395,403.72047674655914,0.25987047,2664308946.0,1370.7865657806396
44.25,10.75,1988,9.816074,17.200256,386.34799259901047,0.25649855,2581334481.0,1357.170349597931
44.25,10.75,1989,12.421483,16.415863,655.8440737724304,0.3025083,2585401547.0,1226.8792362213135
44.25,10.75,1990,12.010322,17.144367,367.3596798181534,0.2558921,2687950630.0,1394.7339487075806
44.25,10.75,1991,10.314743,17.181198,446.09601670503616,0.2455486,2646359783.0,1388.963080406189
44.25,10.75,1992,13.137212,17.674929,366.399617433548,0.24504653,2645869242.0,1399.7881145477295
44.25,10.75,1993,13.90847,17.422775,391.71337246894836,0.24700733,2675646268.0,1433.5473880767822
44.25,10.75,1994,15.073413,18.26942,480.26518046855927,0.25579163,2654001096.0,1435.5591859817505
44.25,10.75,1995,15.138663,16.262705,571.7727171182632,0.28897938,2589822916.0,1266.2855434417725
44.25,10.75,1996,14.242658,16.195501,494.87409830093384,0.26765615,2620530750.0,1330.1270747184753
44.25,10.75,1997,14.956212,17.3576,388.7683300971985,0.26724795,2697974922.0,1376.7665090560913
44.25,10.75,1998,12.618806,17.971066,351.1466007232666,0.23109484,2747775118.0,1550.7342538833618
44.25,10.75,1999,15.8713,17.856403,468.5732834339142,0.27018154,2605761855.0,1348.8789639472961
44.25,10.75,2000,13.98992,17.874182,402.99587512016296,0.24837475,2765134868.0,1486.7384786605835
44.25,10.75,2001,14.902504,17.363539,462.83872532844543,0.25531045,2717608028.0,1446.1857471466064
44.25,10.75,2002,14.5162115,16.903276,662.1109952926636,0.30401832,2529155273.0,1208.202808856964
44.25,10.75,2003,11.454273,19.790447,242.56392914056778,0.19657838,2851431496.0,1732.909899711609
44.25,10.75,2004,15.136396,16.99736,448.43936812877655,0.25428125,2723477594.0,1421.1874361038208
44.25,10.75,2005,14.108326,17.477533,419.4890525341034,0.2611802,2650735019.0,1387.7409038543701
44.25,10.75,2006,12.821318,17.87741,418.4106197357178,0.24806495,2758378622.0,1521.7052431106567
44.25,10.75,2007,12.483021,17.426287,337.834136903286,0.22938271,2710122497.0,1500.1386241912842
44.25,10.75,2008,13.520428,17.301294,446.50822108983994,0.25602722,2621204245.0,1354.771743774414
44.25,10.75,2009,12.054239,18.472345,337.07504415512085,0.23617919,2740689228.0,1507.3727169036865
44.25,10.75,2010,13.602551,16.999685,602.655889749527,0.2911293,2572781359.0,1263.1053829193115
44.25,10.75,2011,13.349923,18.316517,327.29128336906433,0.23060401,2810007156.0,1564.0398235321045
44.25,10.75,2012,11.966124,18.46345,406.4631567001343,0.23252869,2752065446.0,1557.9180836677551
44.25,10.75,2013,12.429629,17.426397,437.8890073299408,0.26034132,2688533526.0,1434.419469833374
44.25,10.75,2014,15.0978155,16.744793,560.661290884018,0.30284706,2572519186.0,1218.299331188202
44.25,10.75,2015,13.786693,18.696531,385.062903881073,0.25041187,2725366034.0,1484.207176208496
44.25,10.75,2016,14.303396,17.830223,506.6022220849991,0.26543456,2742389862.0,1444.914137840271
44.25,11.25,1982,10.601578,19.228447,289.76269590854645,0.2894451,2573466739.0,1134.6154522895813
44.25,11.25,1983,10.170758,18.990559,302.5638453066349,0.28034705,2575885152.0,1179.7801775932312
44.25,11.25,1984,11.075874,17.013859,454.10776233673096,0.3161527,2455582586.0,1065.1864819526672
44.25,11.25,1985,9.625108,19.15619,241.04555886983871,0.27180654,2609409292.0,1205.3010368347168
44.25,11.25,1986,11.205585,18.6268,381.30687379837036,0.30566245,2641472372.0,1143.4701194763184
44.25,11.25,1987,10.241192,18.846355,268.63954865932465,0.27958655,2654842773.0,1226.8234734535217
44.25,11.25,1988,9.349217,18.816818,309.1264532506466,0.29095924,2584065938.0,1183.5839214324951
44.25,11.25,1989,11.532188,17.833254,625.4081161022186,0.3468557,2564745497.0,1054.8990960121155
44.25,11.25,1990,11.652904,18.620975,293.6603544950485,0.2911218,2667278962.0,1209.6003217697144
44.25,11.25,1991,10.210315,18.734432,324.5364372730255,0.2712969,2636996874.0,1194.964720249176
44.25,11.25,1992,12.847755,19.411007,201.1445667743683,0.2567915,2653503550.0,1239.2848682403564
44.25,11.25,1993,12.830394,19.124275,254.6129651069641,0.26449046,2678915996.0,1282.7705926895142
44.25,11.25,1994,13.714006,19.705515,389.2065342962742,0.29508153,2664550292.0,1224.7436814308167
44.25,11.25,1995,14.00812,17.750141,454.14389538764954,0.32593995,2566414070.0,1093.2661423683167
44.25,11.25,1996,13.959251,17.742924,395.8042457103729,0.30295166,2605813378.0,1166.2191257476807
44.25,11.25,1997,14.251071,18.950802,284.04466450214386,0.29120788,2701491810.0,1228.2981643676758
44.25,11.25,1998,12.565253,19.67216,260.1012809276581,0.26009983,2737401392.0,1352.2369527816772
44.25,11.25,1999,15.08513,19.357513,356.2766044139862,0.30674866,2597960623.0,1190.3385105133057
44.25,11.25,2000,13.569542,19.54354,335.1422892808914,0.28015882,2762155980.0,1307.1810159683228
44.25,11.25,2001,14.387786,18.906193,356.54918670654297,0.28824902,2700923398.0,1250.3024320602417
44.25,11.25,2002,14.357722,18.423666,568.5084154605865,0.34624964,2509910736.0,1049.1671018600464
44.25,11.25,2003,11.234888,21.55976,165.14359134435654,0.22044615,2835208334.0,1462.409598350525
44.25,11.25,2004,14.816501,18.515842,401.4486244916916,0.29777455,2713631618.0,1244.556764125824
44.25,11.25,2005,14.227389,19.158298,350.4682158231735,0.29528812,2641782210.0,1220.8799362182617
44.25,11.25,2006,13.085434,19.414331,323.42650628089905,0.28626052,2747910441.0,1292.3440132141113
44.25,11.25,2007,12.776414,19.169643,245.81451666355133,0.2581173,2709837394.0,1338.6290392875671
44.25,11.25,2008,13.908833,19.02067,383.8438289761543,0.29338625,2629480069.0,1194.9562244415283
44.25,11.25,2009,12.379347,20.098673,252.88790678977966,0.26716906,2719831186.0,1308.2289819717407
44.25,11.25,2010,13.238466,18.620718,430.0495561361313,0.32201952,2568143264.0,1123.9725666046143
44.25,11.25,2011,13.9583025,20.12261,235.7064339518547,0.25269225,2806058510.0,1372.2345819473267
44.25,11.25,2012,12.182407,20.253948,349.6217987537384,0.2676808,2743148516.0,1387.5122117996216
44.25,11.25,2013,13.075284,19.08427,310.34336841106415,0.28667104,2671074523.0,1236.4462943077087
44.25,11.25,2014,14.791282,18.215748,475.1406818628311,0.33961192,2553273977.0,1071.415849685669
44.25,11.25,2015,13.73295,20.221874,329.39592730998993,0.28682703,2702012550.0,1263.4370317459106
44.25,11.25,2016,14.248969,19.442755,397.5666608810425,0.30173534,2725198776.0,1257.5028867721558
44.25,11.75,1982,7.058009,20.281433,259.98034155368805,0.2692887,2564459496.0,1044.0107688903809
44.25,11.75,1983,6.905156,20.040653,273.19968885183334,0.26148742,2587238547.0,1095.6145887374878
44.25,11.75,1984,8.359867,18.24561,397.17281740903854,0.3008894,2484463207.0,1023.392186164856
44.25,11.75,1985,5.3447785,20.249191,206.84071844816208,0.2525835,2608180984.0,1122.2479276657104
44.25,11.75,1986,7.635679,19.66119,346.0240483880043,0.28941932,2636648782.0,1052.691035270691
44.25,11.75,1987,7.654874,20.14581,245.22466802597046,0.25731677,2649239184.0,1159.936321258545
44.25,11.75,1988,6.980862,19.921162,295.85053327679634,0.28163332,2588789101.0,1095.6989331245422
44.25,11.75,1989,7.91496,18.828379,652.9331998825073,0.32975307,2551077964.0,985.0405550003052
44.25,11.75,1990,7.8916535,19.76279,305.88260209560394,0.2770664,2662907560.0,1123.6017127037048
44.25,11.75,1991,7.504186,19.816153,297.65056681632996,0.26004773,2627995587.0,1109.8423147201538
44.25,11.75,1992,8.942548,20.631727,162.96475511789322,0.23567763,2664866632.0,1164.7479286193848
44.25,11.75,1993,9.244362,20.466354,224.98555493354797,0.24133167,2678977402.0,1221.1569805145264
44.25,11.75,1994,9.685424,20.867859,344.00978595018387,0.26662415,2679888022.0,1145.145384311676
44.25,11.75,1995,9.8423395,18.802345,461.2594904899597,0.31618994,2556722907.0,1004.6305956840515
44.25,11.75,1996,9.500466,18.955002,351.73649775981903,0.28317612,2597926152.0,1096.253658771515
44.25,11.75,1997,9.961577,20.116974,248.28668022155762,0.26661253,2700500197.0,1152.2038769721985
44.25,11.75,1998,9.259625,20.995985,251.0819429755211,0.24663942,2721237552.0,1253.3185963630676
44.25,11.75,1999,11.047405,20.58939,341.7571932077408,0.29039392,2596203905.0,1110.1648530960083
44.25,11.75,2000,10.11284,20.877542,284.5679041147232,0.2527778,2757457912.0,1244.0990076065063
44.25,11.75,2001,9.550433,20.103382,301.23166704177856,0.2686941,2695194438.0,1176.9101514816284
44.25,11.75,2002,10.549921,19.474276,582.4298603534698,0.33717957,2504556330.0,964.6950297355652
44.25,11.75,2003,7.2239223,22.4847,182.03065621852875,0.21862061,2804449370.0,1295.8435587882996
44.25,11.75,2004,10.247313,19.66078,332.90985333919525,0.28298792,2706112874.0,1157.3144798278809
44.25,11.75,2005,10.217241,20.116205,384.6320927143097,0.2940176,2638469908.0,1106.597981452942
44.25,11.75,2006,9.140951,20.254019,343.07774662971497,0.285317,2733162358.0,1147.5905718803406
44.25,11.75,2007,8.569701,20.488834,247.21974229812622,0.24593067,2716052164.0,1263.3144364356995
