lat,lon,year,potential_evaporation
44.75,11.75,2005,1088.2514443397522
44.75,11.75,2006,1144.1793475151062
44.75,11.75,2007,1237.244716644287
44.75,11.75,2008,1093.0210375785828
44.75,11.75,2009,1187.4836983680725
44.75,11.75,2010,985.1232032775879
44.75,11.75,2011,1217.8581404685974
44.75,11.75,2012,1344.3075904846191
44.75,11.75,2013,1090.9343433380127
44.75,11.75,2014,977.9626226425171
44.75,11.75,2015,1189.5305309295654
44.75,11.75,2016,1115.375244140625
45.25,6.75,1982,756.4715130329132
45.25,6.75,1983,669.159591794014
45.25,6.75,1984,660.1966361999512
45.25,6.75,1985,861.5668587684631
45.25,6.75,1986,814.2961659431458
45.25,6.75,1987,787.4510805606842
45.25,6.75,1988,799.2064571380615
45.25,6.75,1989,836.0841479301453
45.25,6.75,1990,906.1881654262543
45.25,6.75,1991,870.5328707695007
45.25,6.75,1992,803.7902088165283
45.25,6.75,1993,816.1629843711853
45.25,6.75,1994,798.1392755508423
45.25,6.75,1995,682.9307253360748
45.25,6.75,1996,741.54567527771
45.25,6.75,1997,797.1003811359406
45.25,6.75,1998,909.5979228019714
45.25,6.75,1999,784.7126891613007
45.25,6.75,2000,880.5374929904938
45.25,6.75,2001,838.0152769088745
45.25,6.75,2002,763.89484167099
45.25,6.75,2003,1051.1517102718353
45.25,6.75,2004,863.5829608440399
45.25,6.75,2005,855.4300003051758
45.25,6.75,2006,875.970312833786
45.25,6.75,2007,910.5491795539856
45.25,6.75,2008,888.5716593265533
45.25,6.75,2009,939.9464817047119
45.25,6.75,2010,794.1050426959991
45.25,6.75,2011,922.5180616378784
45.25,6.75,2012,927.9425637722015
45.25,6.75,2013,801.3277971744537
45.25,6.75,2014,737.666996717453
45.25,6.75,2015,922.9422693252563
45.25,6.75,2016,878.4562859535217
45.25,7.25,1982,718.1189751625061
45.25,7.25,1983,698.3266520500183
45.25,7.25,1984,696.3031153678894
45.25,7.25,1985,775.5843319892883
45.25,7.25,1986,716.4322056770325
45.25,7.25,1987,783.7273020744324
45.25,7.25,1988,710.8715057373047
45.25,7.25,1989,796.5786128044128
45.25,7.25,1990,828.9019756317139
45.25,7.25,1991,868.1918668746948
45.25,7.25,1992,723.5646080970764
45.25,7.25,1993,780.5989546775818
45.25,7.25,1994,778.6964130401611
45.25,7.25,1995,754.7203230857849
45.25,7.25,1996,746.1836888790131
45.25,7.25,1997,795.5367527008057
45.25,7.25,1998,868.6708707809448
45.25,7.25,1999,740.0176310539246
45.25,7.25,2000,827.783543586731
45.25,7.25,2001,846.8169686794281
45.25,7.25,2002,710.5716273784637
45.25,7.25,2003,990.8482270240784
45.25,7.25,2004,824.4413304328918
45.25,7.25,2005,859.6602659225464
45.25,7.25,2006,881.9328489303589
45.25,7.25,2007,845.6264262199402
45.25,7.25,2008,734.2511699199677
45.25,7.25,2009,809.0274183750153
45.25,7.25,2010,768.9387695789337
45.25,7.25,2011,831.0661005973816
45.25,7.25,2012,773.9235157966614
45.25,7.25,2013,790.7831046581268
45.25,7.25,2014,750.9761896133423
45.25,7.25,2015,809.1035614013672
45.25,7.25,2016,837.1735668182373
45.25,7.75,1982,737.3715934753418
45.25,7.75,1983,733.24644947052
45.25,7.75,1984,722.9657475948334
