lat,lon,year,yield_maize
44.75,7.75,1999,11.478489
44.75,7.75,2000,11.775244
44.75,7.75,2001,12.087915
44.75,7.75,2002,12.423261
44.75,7.75,2003,9.635011
44.75,7.75,2004,11.624639
44.75,7.75,2005,11.994102
44.75,7.75,2006,10.480223
44.75,7.75,2007,12.186979
44.75,7.75,2008,11.998678
44.75,7.75,2009,11.648276
44.75,7.75,2010,12.231474
44.75,7.75,2011,12.5704
44.75,7.75,2012,11.232209
44.75,7.75,2013,11.781149
44.75,7.75,2014,14.428492
44.75,7.75,2015,12.848786
44.75,7.75,2016,13.413585
44.75,8.25,1982,7.7327776
44.75,8.25,1983,8.897607
44.75,8.25,1984,9.421124
44.75,8.25,1985,8.63247
44.75,8.25,1986,9.540752
44.75,8.25,1987,8.822667
44.75,8.25,1988,9.923308
44.75,8.25,1989,9.670597
44.75,8.25,1990,8.535119
44.75,8.25,1991,8.866456
44.75,8.25,1992,10.754126
44.75,8.25,1993,12.063321
44.75,8.25,1994,11.917765
44.75,8.25,1995,12.437191
44.75,8.25,1996,11.754656
44.75,8.25,1997,12.00941
44.75,8.25,1998,11.336885
44.75,8.25,1999,12.056526
44.75,8.25,2000,11.85004
44.75,8.25,2001,12.2374325
44.75,8.25,2002,12.755961
44.75,8.25,2003,9.898106
44.75,8.25,2004,12.648839
44.75,8.25,2005,12.4197445
44.75,8.25,2006,11.117533
44.75,8.25,2007,12.088812
44.75,8.25,2008,12.239294
44.75,8.25,2009,11.579947
44.75,8.25,2010,12.091822
44.75,8.25,2011,12.658326
44.75,8.25,2012,11.342821
44.75,8.25,2013,12.192894
44.75,8.25,2014,13.639568
44.75,8.25,2015,13.182192
44.75,8.25,2016,13.187328
44.75,8.75,1982,6.080439
44.75,8.75,1983,7.1829567
44.75,8.75,1984,7.6069956
44.75,8.75,1985,6.7227993
44.75,8.75,1986,6.960879
44.75,8.75,1987,7.492763
44.75,8.75,1988,7.0296507
44.75,8.75,1989,7.390232
44.75,8.75,1990,7.143784
44.75,8.75,1991,6.827013
44.75,8.75,1992,8.70015
44.75,8.75,1993,9.102726
44.75,8.75,1994,8.536036
44.75,8.75,1995,8.683291
44.75,8.75,1996,8.736778
44.75,8.75,1997,9.182015
44.75,8.75,1998,8.840839
44.75,8.75,1999,9.640109
44.75,8.75,2000,8.78968
44.75,8.75,2001,9.812806
44.75,8.75,2002,9.688301
44.75,8.75,2003,7.3362556
44.75,8.75,2004,9.309232
44.75,8.75,2005,9.8080435
44.75,8.75,2006,8.287147
44.75,8.75,2007,8.511767
44.75,8.75,2008,9.064624
44.75,8.75,2009,8.252602
44.75,8.75,2010,9.079078
44.75,8.75,2011,9.582505
44.75,8.75,2012,8.378106
44.75,8.75,2013,9.358688
44.75,8.75,2014,10.644325
44.75,8.75,2015,9.130339
44.75,8.75,2016,9.789064
44.75,9.25,1982,9.510587
44.75,9.25,1983,10.8597555
44.75,9.25,1984,10.7179985
44.75,9.25,1985,9.636262
44.75,9.25,1986,9.648139
44.75,9.25,1987,9.583859
44.75,9.25,1988,9.634746
44.75,9.25,1989,11.38242
44.75,9.25,1990,10.919466
44.75,9.25,1991,9.295567
44.75,9.25,1992,12.258214
44.75,9.25,1993,13.188174
44.75,9.25,1994,13.543385
44.75,9.25,1995,13.592753
44.75,9.25,1996,12.932482
44.75,9.25,1997,13.3866625
44.75,9.25,1998,13.236021
44.75,9.25,1999,14.042437
44.75,9.25,2000,13.269039
44.75,9.25,2001,14.13582
44.75,9.25,2002,13.652428
44.75,9.25,2003,9.868552
44.75,9.25,2004,12.953482
44.75,9.25,2005,13.583308
44.75,9.25,2006,12.694151
44.75,9.25,2007,12.973305
44.75,9.25,2008,12.8815
44.75,9.25,2009,11.496489
44.75,9.25,2010,12.593819
44.75,9.25,2011,13.759998
44.75,9.25,2012,12.155232
44.75,9.25,2013,12.80785
44.75,9.25,2014,15.160063
44.75,9.25,2015,12.928574
44.75,9.25,2016,14.0172
44.75,9.75,1982,8.984953
44.75,9.75,1983,8.822772
44.75,9.75,1984,9.621817
44.75,9.75,1985,8.551533
44.75,9.75,1986,8.685077
44.75,9.75,1987,9.056225
44.75,9.75,1988,8.103517
44.75,9.75,1989,9.639617
44.75,9.75,1990,9.39557
44.75,9.75,1991,8.096285
44.75,9.75,1992,10.766463
44.75,9.75,1993,10.704755
44.75,9.75,1994,11.150887
44.75,9.75,1995,10.827523
