year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
1991,45.75,9.25,3.3503706,14.228379243339589,529.9256029129028,0.3831832416696486,2448280798.0,745.0344762802124
1992,45.75,9.25,3.0916007,14.136696132959104,634.3751440048218,0.3891923873642691,2247654648.0,646.2923152446747
1993,45.75,9.25,3.6530676,14.240772565205893,566.9008305072784,0.3967991915403628,2423663478.0,709.4564499855042
1994,45.75,9.25,2.815425,15.403236513823465,431.6726408600807,0.3730934235005597,2450930034.0,757.7281198501587
1995,45.75,9.25,2.2726958,13.984453070397471,562.3793678283691,0.3879181399844051,2454393101.0,726.3450031280518
1996,45.75,9.25,3.078957,14.126486980837155,531.1393502950668,0.38023144259951475,2374220494.0,729.1065008640289
1997,45.75,9.25,2.6444345,14.926373880673077,576.4678514897823,0.3482992397803886,2569507349.0,857.5463852882385
1998,45.75,9.25,3.335961,14.681258488324733,632.3151366710663,0.3877365090488608,2488346158.0,763.8355758190155
1999,45.75,9.25,3.2286088,14.8568667555167,481.7710990905762,0.38790177811984144,2364576646.0,729.4880089759827
2000,45.75,9.25,3.32397,15.117519163617901,622.8531320095062,0.38302379924487445,2440395664.0,771.6872069835663
2001,45.75,9.25,2.6916325,14.986883475110421,653.5458722114563,0.3934931480417065,2367535633.0,751.3675990104675
2002,45.75,9.25,3.3187096,14.922494420818254,770.2415192127228,0.3922111884830824,2343847506.0,692.7435867786407
2003,45.75,9.25,3.0261426,16.95362400852777,288.06635370850563,0.33095835957651826,2590742019.0,899.5334794521332
2004,45.75,9.25,2.9211078,14.175895422891854,567.3425152301788,0.38763755209305706,2448065118.0,738.5091218948364
2005,45.75,9.25,3.9247408,15.383902256784875,417.08760833740234,0.3735999862353007,2454151616.0,806.3078260421753
2006,45.75,9.25,3.548752,15.415031588934605,317.7472577095032,0.3551977557294509,2539312571.0,847.0416779518127
2007,45.75,9.25,2.9521306,16.250563817865707,535.5436211824417,0.3745098028307647,2496614213.0,820.9396171569824
2008,45.75,9.25,3.2115698,14.45720709383098,798.4157543182373,0.4051478173997667,2317756187.0,680.6853215694427
2009,45.75,9.25,3.8173466,15.611289809731876,646.4870570898056,0.37538523942816493,2482337572.0,795.2047696113586
2010,45.75,9.25,3.2557418,14.78561437207889,681.923841714859,0.38521521699194816,2362762329.0,741.7220666408539
2011,45.75,9.25,3.6004214,15.49678894429425,591.4628349542618,0.3732574381469901,2485998796.0,789.1358528137207
2012,45.75,9.25,3.6518025,15.329424633699304,680.4436423778534,0.38950108410486206,2437298290.0,746.1312670707703
2013,45.75,9.25,3.1353,14.173020297405767,828.2034256458282,0.4066835310724046,2221262487.0,661.9120450019836
2014,45.75,9.25,3.3615527,15.126366690093397,683.6418273448944,0.3944459360798979,2458157041.0,748.6215798854828
2015,45.75,9.25,3.1084495,16.31230874155082,494.3052167892456,0.38333894146813285,2464658393.0,792.3554701805115
2016,45.75,9.25,3.8200152,14.917494007185393,724.6315178871155,0.41008908510987274,2408494838.0,711.6125164031982
1982,45.75,9.75,3.1027057,13.08390767434064,591.9203984737396,0.38370045240408457,2282558983.0,845.1869564056396
1983,45.75,9.75,2.769471,13.35819751141118,650.5016417503357,0.38919425322339424,2180386220.0,801.9215440750122
1984,45.75,9.75,3.2851827,11.3927431355894,656.1488581895828,0.3887386497329263,2223451467.0,794.5515081882477
1985,45.75,9.75,3.621618,12.192136691286674,755.9309003353119,0.39976857437027824,2161037301.0,760.3099317550659
1986,45.75,9.75,2.8962436,12.898975331798878,730.4652659893036,0.3987477392542596,2082151459.0,729.7918288707733
1987,45.75,9.75,3.3099756,11.819477428018658,686.4051452875137,0.396362566675236,2294633065.0,809.2669570446014
1988,45.75,9.75,2.2284472,12.81891090417999,696.4841504096985,0.4013798153088763,2172908351.0,748.3972201347351
1989,45.75,9.75,2.404779,12.980410875058642,731.1339144706726,0.3937857850314745,2261003242.0,786.488775730133
1990,45.75,9.75,2.87152,13.443248811110951,632.9197452068329,0.38994600570279786,2317438282.0,827.514796257019
1991,45.75,9.75,3.4338202,13.006597774480683,599.4387829303741,0.38851147558954024,2336346361.0,848.821328163147
1992,45.75,9.75,3.7316482,13.07467841167076,644.5237004756927,0.3853955991517485,2187266229.0,770.0425601005554
1993,45.75,9.75,3.9931772,13.099177538179884,618.6102423667908,0.3901805673159805,2360072902.0,866.1809916496277
1994,45.75,9.75,3.1415896,14.3394910400989,477.52429860830307,0.3799513142093334,2365568456.0,902.4780201911926
1995,45.75,9.75,2.600095,12.72146209081014,609.926459312439,0.3876417865550596,2356267531.0,835.5258278846741
1996,45.75,9.75,3.1956925,12.916522722618252,550.2296576499939,0.38237403888328403,2301823419.0,860.902961730957
1997,45.75,9.75,2.776317,13.661920553718517,587.4645355939865,0.3573957048600016,2501822150.0,999.6495141983032
1998,45.75,9.75,3.4030485,13.507922705482034,616.517228603363,0.3849855926301744,2425444511.0,909.9530243873596
1999,45.75,9.75,3.3509285,13.617214654785355,555.601155757904,0.39099258749313603,2284132873.0,831.4645142555237
2000,45.75,9.75,3.238834,13.91196461284862,611.3984997272491,0.383087179045272,2375424461.0,917.2277460098267
2001,45.75,9.75,2.6043298,13.800018170300651,716.5183596611023,0.38863663852604385,2292011829.5,877.6135206222534
2002,45.75,9.75,3.31002,13.775661655500823,778.6375443935394,0.39085418239138486,2286171196.0,818.631603717804
2003,45.75,9.75,3.142834,15.274520870906855,348.26791232824326,0.3434149330737544,2530000655.0,1038.4920206069946
2004,45.75,9.75,3.3151627,12.80158104616053,661.7808895111084,0.399824583257725,2347204875.0,847.8934845924377
2005,45.75,9.75,3.9516847,13.867205579296437,500.56121385097504,0.38044847265567655,2380774441.0,920.9111895561218
2006,45.75,9.75,3.880032,14.019324749902962,389.4464123249054,0.36125731955166734,2427844902.0,962.1862246990204
2007,45.75,9.75,3.1200175,15.07273036046745,554.7696826457977,0.37193065433720357,2421580190.0,968.7148475646973
2008,45.75,9.75,3.534921,13.440320996677174,809.7820100784302,0.40193988470470204,2234356406.0,800.9909920692444
2009,45.75,9.75,3.9617198,14.302048140881109,669.2012720108032,0.3802824776157055,2391315322.0,901.6754262447357
2010,45.75,9.75,3.4952564,13.413523664661483,692.724859714508,0.3934178463384217,2236138872.0,815.4313263893127
2011,45.75,9.75,3.9286194,14.18028751074099,666.2714173793793,0.3820344663523381,2388388795.0,892.6867017745972
2012,45.75,9.75,4.039587,14.142951778337068,692.3554093837738,0.38429682882003535,2389056214.0,882.6686110496521
2013,45.75,9.75,3.5985777,13.007024063783533,851.6812241077423,0.4068017675985698,2137575841.0,745.2181482315063
2014,45.75,9.75,3.7479331,13.94196109522402,712.8534371852875,0.390138665055917,2371414920.0,876.3255310058594
