lat,lon,year,soil_water
44.75,10.25,1982,0.31439343
44.75,10.25,1983,0.30130997
44.75,10.25,1984,0.33424073
44.75,10.25,1985,0.29632935
44.75,10.25,1986,0.31481877
44.75,10.25,1987,0.2894835
44.75,10.25,1988,0.3218298
44.75,10.25,1989,0.3349567
44.75,10.25,1990,0.2948407
44.75,10.25,1991,0.26971692
44.75,10.25,1992,0.29167762
44.75,10.25,1993,0.28810948
44.75,10.25,1994,0.32001576
44.75,10.25,1995,0.3314143
44.75,10.25,1996,0.29775563
44.75,10.25,1997,0.2873873
44.75,10.25,1998,0.2846609
44.75,10.25,1999,0.3139251
44.75,10.25,2000,0.2955631
44.75,10.25,2001,0.30833325
44.75,10.25,2002,0.35897642
44.75,10.25,2003,0.24713378
44.75,10.25,2004,0.29261118
44.75,10.25,2005,0.31310815
44.75,10.25,2006,0.2959187
44.75,10.25,2007,0.28488734
44.75,10.25,2008,0.31319374
44.75,10.25,2009,0.27435827
44.75,10.25,2010,0.33982748
44.75,10.25,2011,0.27799022
44.75,10.25,2012,0.28655395
44.75,10.25,2013,0.32645327
44.75,10.25,2014,0.3529792
44.75,10.25,2015,0.29506406
44.75,10.25,2016,0.30721337
44.75,10.75,1982,0.30227476
44.75,10.75,1983,0.2852013
44.75,10.75,1984,0.32240674
44.75,10.75,1985,0.27207714
44.75,10.75,1986,0.3068734
44.75,10.75,1987,0.263205
44.75,10.75,1988,0.30655223
44.75,10.75,1989,0.33431655
44.75,10.75,1990,0.2848823
44.75,10.75,1991,0.26035106
44.75,10.75,1992,0.25802773
44.75,10.75,1993,0.26171008
44.75,10.75,1994,0.30812198
44.75,10.75,1995,0.3263019
44.75,10.75,1996,0.28544837
44.75,10.75,1997,0.27015883
44.75,10.75,1998,0.26359048
44.75,10.75,1999,0.30470142
44.75,10.75,2000,0.27500868
44.75,10.75,2001,0.2893181
44.75,10.75,2002,0.35586852
44.75,10.75,2003,0.22547403
44.75,10.75,2004,0.28961107
44.75,10.75,2005,0.30407166
44.75,10.75,2006,0.28879958
44.75,10.75,2007,0.2688635
44.75,10.75,2008,0.30773193
44.75,10.75,2009,0.2675476
44.75,10.75,2010,0.33785206
44.75,10.75,2011,0.26444653
44.75,10.75,2012,0.27014342
44.75,10.75,2013,0.31035036
44.75,10.75,2014,0.3452643
44.75,10.75,2015,0.27771032
44.75,10.75,2016,0.3020853
44.75,11.25,1982,0.26052284
44.75,11.25,1983,0.2464215
44.75,11.25,1984,0.29047865
44.75,11.25,1985,0.23044387
44.75,11.25,1986,0.2635618
44.75,11.25,1987,0.22432604
44.75,11.25,1988,0.2664247
44.75,11.25,1989,0.29891124
44.75,11.25,1990,0.23807445
