lat,lon,year,solar_radiation
44.75,11.25,1999,60597980616.0
44.75,11.25,2000,64343599680.0
44.75,11.25,2001,63431921136.0
44.75,11.25,2002,58902932880.0
44.75,11.25,2003,65661723264.0
44.75,11.25,2004,63695723832.0
44.75,11.25,2005,61612589568.0
44.75,11.25,2006,64335042720.0
44.75,11.25,2007,63078844968.0
44.75,11.25,2008,61487788176.0
44.75,11.25,2009,63551044032.0
44.75,11.25,2010,60802016880.0
44.75,11.25,2011,64985316000.0
44.75,11.25,2012,63962746416.0
44.75,11.25,2013,63103925664.0
44.75,11.25,2014,60214737552.0
44.75,11.25,2015,62816626392.0
44.75,11.25,2016,63789665088.0
44.75,11.75,1982,60632855760.0
44.75,11.75,1983,61831065504.0
44.75,11.75,1984,59473943184.0
44.75,11.75,1985,61841921592.0
44.75,11.75,1986,63101142672.0
44.75,11.75,1987,62844845616.0
44.75,11.75,1988,61426595472.0
44.75,11.75,1989,60558111600.0
44.75,11.75,1990,63193444176.0
44.75,11.75,1991,62924986752.0
44.75,11.75,1992,63383262096.0
44.75,11.75,1993,63822732144.0
44.75,11.75,1994,63035647728.0
44.75,11.75,1995,61570585608.0
44.75,11.75,1996,61813258920.0
44.75,11.75,1997,63584826864.0
44.75,11.75,1998,64511478192.0
44.75,11.75,1999,61577407008.0
44.75,11.75,2000,65038299840.0
44.75,11.75,2001,64198355376.0
44.75,11.75,2002,59943558336.0
44.75,11.75,2003,66123587136.0
44.75,11.75,2004,64164685776.0
44.75,11.75,2005,62459890584.0
44.75,11.75,2006,64732280592.0
44.75,11.75,2007,63935768736.0
44.75,11.75,2008,62545812288.0
44.75,11.75,2009,64021318848.0
44.75,11.75,2010,61620294360.0
44.75,11.75,2011,65839420944.0
44.75,11.75,2012,64936656288.0
44.75,11.75,2013,64115153568.0
44.75,11.75,2014,61140918192.0
44.75,11.75,2015,63577633104.0
44.75,11.75,2016,64411784736.0
45.25,6.75,1982,53071962216.0
45.25,6.75,1983,48247407456.0
45.25,6.75,1984,47985045396.0
45.25,6.75,1985,55733820432.0
45.25,6.75,1986,55018720680.0
45.25,6.75,1987,53242199304.0
45.25,6.75,1988,53622107856.0
45.25,6.75,1989,57976737648.0
45.25,6.75,1990,58835613360.0
45.25,6.75,1991,55724749416.0
45.25,6.75,1992,54838686672.0
45.25,6.75,1993,55860241584.0
45.25,6.75,1994,52382880960.0
45.25,6.75,1995,50424110496.0
45.25,6.75,1996,54099461568.0
45.25,6.75,1997,54350013072.0
45.25,6.75,1998,58624039776.0
45.25,6.75,1999,54032919168.0
45.25,6.75,2000,58779361704.0
45.25,6.75,2001,56175057720.0
45.25,6.75,2002,53197669152.0
45.25,6.75,2003,62350343088.0
45.25,6.75,2004,57713203296.0
45.25,6.75,2005,58555655040.0
45.25,6.75,2006,57716165208.0
45.25,6.75,2007,58056175728.0
45.25,6.75,2008,57184713888.0
45.25,6.75,2009,59053924440.0
45.25,6.75,2010,53867943360.0
45.25,6.75,2011,60097250136.0
45.25,6.75,2012,56764591800.0
45.25,6.75,2013,54055848960.0
45.25,6.75,2014,54445737288.0
45.25,6.75,2015,57861114288.0
45.25,6.75,2016,56623345272.0
45.25,7.25,1982,54091268832.0
45.25,7.25,1983,52066217712.0
45.25,7.25,1984,51375547560.0
45.25,7.25,1985,56264986800.0
45.25,7.25,1986,54389615640.0
45.25,7.25,1987,56368723728.0
45.25,7.25,1988,54048592728.0
45.25,7.25,1989,59019877200.0
45.25,7.25,1990,59445712248.0
45.25,7.25,1991,59006667936.0
45.25,7.25,1992,54479757480.0
45.25,7.25,1993,56844005208.0
45.25,7.25,1994,54648861936.0
45.25,7.25,1995,55627656624.0
45.25,7.25,1996,54968776224.0
45.25,7.25,1997,56900803680.0
45.25,7.25,1998,59754132912.0
45.25,7.25,1999,54039490320.0
45.25,7.25,2000,58579322952.0
45.25,7.25,2001,59651590848.0
45.25,7.25,2002,53864580528.0
45.25,7.25,2003,63273532224.0
45.25,7.25,2004,58638880080.0
45.25,7.25,2005,59431409616.0
45.25,7.25,2006,59504430192.0
45.25,7.25,2007,59615384472.0
45.25,7.25,2008,55757091264.0
45.25,7.25,2009,58753297920.0
45.25,7.25,2010,56421027912.0
45.25,7.25,2011,59370641448.0
45.25,7.25,2012,56716885344.0
45.25,7.25,2013,58157242032.0
45.25,7.25,2014,55683152856.0
45.25,7.25,2015,57123444888.0
45.25,7.25,2016,60090329976.0
45.25,7.75,1982,54524987928.0
45.25,7.75,1983,54364335912.0
45.25,7.75,1984,53706580584.0
45.25,7.75,1985,56372513064.0
45.25,7.75,1986,55003828080.0
45.25,7.75,1987,56831329416.0
45.25,7.75,1988,54561560016.0
45.25,7.75,1989,58958230992.0
45.25,7.75,1990,58936435752.0
45.25,7.75,1991,60394163184.0
45.25,7.75,1992,54063345576.0
45.25,7.75,1993,57145480368.0
45.25,7.75,1994,54908959824.0
45.25,7.75,1995,57208704312.0
45.25,7.75,1996,55459167360.0
45.25,7.75,1997,56999578272.0
45.25,7.75,1998,59930621064.0
45.25,7.75,1999,53946861192.0
45.25,7.75,2000,58189856688.0
45.25,7.75,2001,60184949592.0
45.25,7.75,2002,54069468576.0
45.25,7.75,2003,62754208320.0
45.25,7.75,2004,60113296512.0
45.25,7.75,2005,59208268512.0
45.25,7.75,2006,59912666688.0
45.25,7.75,2007,59406412176.0
45.25,7.75,2008,55067686920.0
45.25,7.75,2009,60007655472.0
