year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_Mar,temperature_Apr,temperature_May,temperature_Jun,temperature_Jul,precipitation_Mar,precipitation_Apr,precipitation_May,precipitation_Jun,precipitation_Jul,soil_water_Mar,soil_water_Apr,soil_water_May,soil_water_Jun,soil_water_Jul,solar_radiation_Mar,solar_radiation_Apr,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,potential_evaporation_Mar,potential_evaporation_Apr,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul
1983,45.25,11.75,1.9552336,16.994871351453995,335.82450795173645,0.316324289522919,2428890385.0,782.3730523586273,8.737318,12.79639,16.68251,20.628798,26.11113,112.81386137008667,67.67244815826416,77.99195075035095,44.57062482833862,32.775622844696045,0.37077087,0.37674624,0.3464331,0.28536987,0.20325193,332635797.0,429215580.0,493682626.0,564783540.0,608572842.0,85.07478213310242,120.4497241973877,153.66640186309814,187.81784534454346,235.3642988204956
1984,45.25,11.75,2.1019983,14.781721676097197,429.03860223293304,0.33968933559710685,2351196137.0,755.8712904453278,6.5560074,11.323421,14.172974,19.128597,22.756273,104.49120855331421,73.66056203842163,144.5739197731018,57.344359159469604,48.96855270862579,0.3843109,0.37312803,0.3772235,0.33008787,0.23446533,324331021.0,436210500.0,444988694.0,550906680.0,594759242.0,82.93531632423401,133.55727195739746,145.9619746208191,177.1426248550415,216.2741026878357
1985,45.25,11.75,2.2317784,15.96661671158535,430.03492295742035,0.3393714470801011,2329742103.0,752.0257005691528,7.6960754,12.024217,16.747658,19.392345,23.956121,147.46522521972656,77.76816844940186,80.52095794677734,99.50504064559937,24.775530695915222,0.4061615,0.37024963,0.35994628,0.33733034,0.22409973,271883454.0,458163180.0,504495829.0,517066380.0,578133260.0,71.3517575263977,138.71512413024902,157.5264573097229,167.2011423110962,217.231219291687
1986,45.25,11.75,2.5206,16.4279445635727,338.29396617412567,0.3239621638862136,2384121729.0,772.3441958427429,7.481681,12.204332,19.228561,20.185837,23.024288,69.75391721725464,96.07822895050049,45.89562141895294,91.39015674591064,35.17604184150696,0.3851605,0.37269652,0.31577516,0.3327832,0.21525207,332318171.0,372545370.0,568054106.0,543665940.0,567538142.0,87.24016809463501,108.83586645126343,173.94138622283936,174.47509288787842,227.8516821861267
1987,45.25,11.75,3.0614228,15.580390721364738,285.19801783561707,0.3007058969704933,2488875567.0,826.3741891384125,4.802152,12.60327,15.61627,20.350994,24.587122,24.743051052093506,61.623473167419434,71.38212704658508,48.25211763381958,79.19724893569946,0.35440674,0.35490233,0.323797,0.25319335,0.21744569,344935853.0,458345190.0,547613202.0,566300340.0,571680982.0,85.49458956718445,129.36508655548096,172.7629690170288,201.37264251708984,237.37890148162842
1988,45.25,11.75,2.1370487,16.25896669524947,407.43205869197845,0.3416527267180237,2397307188.0,757.6405458450317,7.775467,12.511499,17.446972,19.404415,24.13706,68.74986791610718,72.61173248291016,97.82491779327393,139.0897035598755,29.155836939811707,0.35548216,0.3707434,0.3596814,0.37456363,0.2497931,355604038.0,429109140.0,500133850.0,527914860.0,584545300.0,94.06827688217163,124.30973052978516,161.41000127792358,159.75615978240967,218.0963773727417
1989,45.25,11.75,2.2477841,16.482610995473426,518.2189837694168,0.3417213391634374,2396253846.0,743.5067393779755,10.279483,12.589645,17.345861,19.565037,22.606882,42.10652673244476,151.30645751953125,58.28482985496521,99.17182445526123,167.34934520721436,0.3497278,0.3764392,0.31580383,0.3221936,0.34493226,373601956.0,397180890.0,545838762.0,545976600.0,533655638.0,93.40571284294128,117.56053447723389,182.7201805114746,175.37604331970215,174.44426822662354
1990,45.25,11.75,2.1535506,16.979705093732846,391.0937602519989,0.2988760159685721,2479158095.0,845.6275582313538,10.526217,11.786085,18.4674,20.522617,23.542957,61.53076910972595,120.82765102386475,57.851829528808594,81.62775993347168,69.25575065612793,0.28464785,0.37767333,0.29569945,0.30699587,0.23216736,387175585.0,402325200.0,565436156.0,534182220.0,590038934.0,111.95148229598999,120.36063194274902,187.43259286880493,181.78370475769043,244.09914636611938
1991,45.25,11.75,2.561497,16.144210291843788,460.7293198108673,0.3253609128052892,2408967178.0,772.6990838050842,10.766127,11.11701,13.903051,19.923954,24.970669,53.63258743286133,119.48039531707764,165.47196340560913,60.288963317871094,61.85541033744812,0.35960025,0.37858766,0.38154787,0.304422,0.20368834,328152174.0,447889050.0,479175990.0,557995560.0,595754404.0,85.24510717391968,125.90629577636719,145.6378951072693,182.17772483825684,233.73206090927124
1992,45.25,11.75,3.4388244,16.668314628351748,309.2393202781677,0.29324689565920364,2429948771.0,847.175703048706,8.203548,12.36723,18.721806,20.227215,23.797832,43.36399781703949,91.9923448562622,21.05275523662567,95.64762353897095,57.18259882926941,0.3212091,0.34808105,0.25559998,0.30201292,0.24138305,336305329.0,427629780.0,574207482.0,513715080.0,578091100.0,85.25637102127075,136.8816375732422,216.4499044418335,185.7105302810669,222.87725973129272
1993,45.25,11.75,3.0266054,16.89119935503193,278.2592609524727,0.2787168530467289,2517437503.0,889.2886934280396,7.0885267,12.515318,19.657557,22.075764,23.144918,70.88039064407349,70.8694052696228,14.826192438602448,84.74903583526611,36.93423676490784,0.3612201,0.36022952,0.22482178,0.24480164,0.20404664,362387799.0,441325380.0,586648712.0,541347600.0,585728012.0,92.69135284423828,125.23999214172363,220.32360363006592,209.6339750289917,241.39976978302002
1994,45.25,11.75,2.5263824,17.796813422558355,295.0370979309082,0.2947590002437043,2463493659.0,872.3306205272675,11.229123,12.013507,17.442162,21.518536,26.714237,12.955752611160278,111.60093784332275,67.00898265838623,68.05356502532959,35.41785979270935,0.31853762,0.3713971,0.31599548,0.28285646,0.18709657,395790950.0,404306220.0,515924909.0,537409560.0,610062020.0,104.18197751045227,124.80713367462158,169.80671167373657,205.54409980773926,267.9906978607178
1995,45.25,11.75,1.9679995,16.09340158474991,498.87250900268555,0.33892419758964987,2473063547.0,784.2040495872498,7.58883,12.299368,16.799862,19.007605,24.742962,56.04158365726471,45.306183099746704,168.63735580444336,188.09972763061523,40.78765881061554,0.37684324,0.31123903,0.34662476,0.386969,0.2736017,366899043.0,449959620.0,510561630.0,530767740.0,614875514.0,107.1112060546875,134.3303346633911,163.9124083518982,155.44032096862793,223.40977954864502
1996,45.25,11.75,2.6975176,16.570173808951782,265.89633226394653,0.2908421704192567,2456493011.0,880.4082655906677,6.7396226,12.880072,17.543095,22.561047,23.201252,24.874444127082825,78.90535354614258,92.21366667747498,40.97278833389282,28.930079579353333,0.34970826,0.3573218,0.3474292,0.21845886,0.1811023,332385875.0,423647040.0,553830252.0,587894400.0,558735444.0,93.54922342300415,120.76595306396484,177.3452558517456,238.89713287353516,249.85070037841797
