year,lat,lon,yield_wheat_winter,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
1985,44.75,10.75,2.785358,8.251278146239352,662.8711578845978,0.39340110738907963,2236889476.0,661.9099341332912
1986,44.75,10.75,2.5764275,8.92788627620571,727.3148140907288,0.38672385297038336,2233332893.25,688.7923911809921
1987,44.75,10.75,3.2897542,8.27184631262929,534.1245826482773,0.3668933174580582,2493259230.75,747.7622602581978
1988,44.75,10.75,2.7468624,9.924747176621677,670.8401521444321,0.3908277236139823,2366231455.0,716.7801386713982
1989,44.75,10.75,2.7432537,9.414701376079528,390.2737576216459,0.33314250150987923,2620450198.0,790.6573105454445
1990,44.75,10.75,3.1518776,10.125974077823734,387.91858926415443,0.33730380434142654,2587544518.0,809.4433305859566
1991,44.75,10.75,3.4383416,8.369186317625125,572.3668472766876,0.3802788710791217,2476979807.0,714.0765208601952
1992,44.75,10.75,3.62113,9.19988219875367,401.69155107438564,0.35507996374196965,2532714738.0,790.9784542322159
1993,44.75,10.75,3.4807343,10.019422740975687,432.1493539214134,0.3555422266406461,2585176580.5,802.6796495914459
1994,44.75,10.75,3.562346,10.042767438021572,595.9256145656109,0.37952445890785247,2472326481.0,798.7733085155487
1995,44.75,10.75,3.4483814,9.791348909543565,567.5778503417969,0.378008621906446,2511686143.25,768.6334106326103
1996,44.75,10.75,3.123883,9.34490552851202,593.8233064413071,0.3704952304500611,2409083271.25,779.397468328476
1997,44.75,10.75,2.8612008,10.344819849187678,554.7651163935661,0.352145463597676,2620835966.5,931.4737344384193
1998,44.75,10.75,3.4933896,10.530210746221305,476.1884933710098,0.35610430780028507,2598308389.0,870.3970102071762
1999,44.75,10.75,3.8024654,9.68476569159957,474.47911298274994,0.3633821348020853,2537209637.25,844.9689368605614
2000,44.75,10.75,3.1496289,10.143039195135296,537.3519556224346,0.3666066754256747,2602941637.5,859.0589690804482
2001,44.75,10.75,2.9270754,10.75432572088951,709.0501890182495,0.38875110373516714,2459767555.0,782.6249842643738
2002,44.75,10.75,3.2882712,9.787140297495629,540.0167229175568,0.369535019944522,2540812656.0,791.3480124473572
2003,44.75,10.75,2.718824,10.703465771083989,518.5333994030952,0.35553393913202047,2647408566.25,885.7501653432846
2004,44.75,10.75,3.2078316,9.45358835228186,774.38214635849,0.388021417973954,2428373856.5,764.0573167800903
2005,44.75,10.75,4.045425,9.709804325064352,518.6492686867714,0.3707589189375728,2603627043.75,827.4497089385986
2006,44.75,10.75,3.7632666,9.210817061672525,529.0027604103088,0.38076177461088195,2509619165.0,799.8309545516968
2007,44.75,10.75,3.9909165,11.70930701641997,461.95219242572784,0.3500826787357488,2583909691.0,842.0270307064056
2008,44.75,10.75,4.1610994,10.094768502584701,551.408920943737,0.3740353504571404,2464844148.5,778.3001039028168
2009,44.75,10.75,3.2324405,10.172163567267173,793.6116445064545,0.3777954566084649,2469928906.25,813.3792332410812
2010,44.75,10.75,3.8007905,9.240155838245203,891.0601155757904,0.39865702944846193,2288149908.75,688.7996492385864
2011,44.75,10.75,3.8743367,9.832846027760466,669.4356288909912,0.38168898606595913,2527887653.5,774.6039739251137
2012,44.75,10.75,4.54532,9.944061644283341,443.5745153427124,0.34350474062279907,2589878463.5,849.5172150731087
2013,44.75,10.75,3.535656,9.137197779229849,963.6233952045441,0.40601109879568587,2278578541.75,659.7912769913673
2014,44.75,10.75,3.8534527,11.068069262938065,792.1561146378517,0.38175182709516575,2496803645.75,785.1880692839622
2015,44.75,10.75,3.677179,10.941189153135316,772.6091840863228,0.38639023727621913,2498136435.0,787.5042424798012
2016,44.75,10.75,4.4711485,10.754012741669706,609.5021184235811,0.3707519878821118,2553056394.0,794.1304166913033
1982,44.75,11.25,2.4108021,9.565724128533986,354.3329107761383,0.3384933417493647,2512164103.0,772.4265407323837
1983,44.75,11.25,2.4948106,10.305668784567148,481.6317608952522,0.34566266908625926,2427952445.75,740.4115760326385
1984,44.75,11.25,2.4990537,8.532551306265372,582.4927903413773,0.34696143828792336,2355052167.0,689.4353465437889
1985,44.75,11.25,2.1375327,8.971888532815885,578.4578676223755,0.36958141711132586,2254311840.0,653.0135217308998
1986,44.75,11.25,2.2008286,9.649223498076447,628.9569910764694,0.3586873268046655,2270023379.25,681.6992914676666
1987,44.75,11.25,2.9484322,8.888433105196835,486.07101809978485,0.33821412354461416,2489643726.5,734.4839264750481
1988,44.75,11.25,2.425688,10.463353294403955,610.700691819191,0.365543681162375,2386027012.75,692.5753794908524
1989,44.75,11.25,2.1862867,9.9870331247976,363.5699769705534,0.2858169540639751,2601178260.5,789.5716206431389
1990,44.75,11.25,2.1747816,10.73765633520016,353.81765750050545,0.29172550388111557,2572615012.0,794.5220723748207
1991,44.75,11.25,2.7293572,9.012171566978958,526.8957922458649,0.3518075374039737,2453066262.0,686.3474651575089
1992,44.75,11.25,2.8263025,9.765809769493071,380.36536875367165,0.3150886364679768,2521711732.5,789.6755647659302
1993,44.75,11.25,2.8349164,10.625018435076248,389.0856285393238,0.31796815474171286,2583992391.5,800.5082178711891
1994,44.75,11.25,2.7628984,10.737671132915276,522.2016332447529,0.345749726103357,2474826543.5,782.0692950487137
1995,44.75,11.25,2.6858408,10.37608622617958,542.0417250990868,0.3409574978854045,2484060231.75,744.8578498363495
1996,44.75,11.25,2.2226825,10.095249440934923,551.5153151750565,0.3415886850514039,2422112463.5,766.9074749946594
1997,44.75,11.25,2.0376017,10.920918785836086,494.2071778178215,0.3309408163975093,2598146503.0,885.9912071824074
1998,44.75,11.25,2.9383605,11.20068333956821,450.8123143315315,0.32153800794900944,2579073858.5,863.5095902681351
1999,44.75,11.25,2.849391,10.338671697072746,443.3787453174591,0.32787008460395595,2531873890.75,833.1322189569473
2000,44.75,11.25,2.6288254,10.776374320434444,442.43919467926025,0.32633919921922094,2617767587.5,859.0701281428337
2001,44.75,11.25,2.2431293,11.407053202636972,609.8702390193939,0.363659353788234,2465527214.25,772.4574262499809
2002,44.75,11.25,2.5343544,10.385666625558837,494.05797547101974,0.32815801001284733,2538171215.5,785.531910598278
2003,44.75,11.25,2.108682,11.335661339365746,467.41605722904205,0.3318456343013393,2640340739.0,870.9826029539108
2004,44.75,11.25,2.2535093,10.070661196492827,702.4245446920395,0.3635270523190989,2415250299.75,741.0474398136139
2005,44.75,11.25,3.3022308,10.308412018886282,476.8463226556778,0.3455801470713182,2612091596.0,820.4443798661232
2006,44.75,11.25,2.8818488,9.868655665846896,472.22479236125946,0.3585283025976055,2500122631.0,783.9397720098495
2007,44.75,11.25,2.985839,12.42356277694387,421.5674613714218,0.3037326960277951,2572664091.5,838.8778843283653
2008,44.75,11.25,3.5068893,10.734262448770028,516.4513192772865,0.33819390471580096,2458251897.0,768.6463560461998
2009,44.75,11.25,2.8024235,10.99340507511265,663.2814705371857,0.3531108371728708,2474843837.25,800.5175930857658
2010,44.75,11.25,3.0962462,9.88196321312061,786.5270259380341,0.3801150515306094,2286289788.0,659.9150750041008
2011,44.75,11.25,3.141628,10.456460275925881,608.7647955417633,0.35978358786953385,2555945310.25,763.407427251339
